stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n1227889258,Gare lagunaire Aqualines du Plateau,5.3158647,-4.0148847,,,
n5390465849,Gare lagunaire Aqualines Yopougon,5.3078259,-4.0374018,,,
n5953580666,Pharmacie du bonheur,5.3695413,-3.9587073,,,
n6815808830,Station Shell Riviera 3,5.3580852,-3.9641507,,,
n6815808832,Pharmacie Val de Grace,5.3802452,-3.9672641,,,
n6815808834,Marché COCOVICO,5.4010646,-3.9780418,,,
n6899034705,Gare de Bassam,5.3003331,-4.0027516,,,
n6899034707,Notre-dame,5.303315,-4.0037983,,,
n6899034708,Pharmacie Nanan Yamousso,5.3072484,-4.005186,,,
n6899034709,Après le Pont,5.3099574,-4.0061407,,,
n6899053345,Adjamé Liberte,5.3534437,-4.014858,,,
n6899053347,Feux du plateau,5.3251137,-4.0152171,,,
n6899053348,Nanan Yamousso,5.3101491,-4.0061218,,,
n6899053349,Gare de Bassam,5.3003494,-4.0026642,,,
n6899241573,Abobo Gare Mairie,5.4200067,-4.0174383,,,no
n6899241574,Mobil,5.4143755,-4.0159818,,,no
n6899241575,Lavage,5.3846198,-4.0215227,,,no
n6899241576,Macaci,5.37725,-4.0257575,,,no
n6899241577,Adjamé Liberté,5.3543459,-4.0164004,,,no
n6899264970,Marché Gouro,5.349107,-4.0212174,,,no
n6899264971,Adjamé Liberté,5.354717,-4.0163751,,,no
n6899264972,Station Total,5.358734,-4.016791,,,no
n6899264973,Abobo Gare Mairie,5.4215493,-4.0171184,,,no
n6902638988,Carrefour Marché,5.4195759,-4.0153363,,,no
n6902638989,Petro Ivoire,5.4186048,-4.0135168,,,no
n6902638990,Au Bar,5.4168519,-4.0101975,,,no
n6902638991,Petit Carrefour,5.4157998,-4.0080786,,,no
n6902638992,Samaké,5.4152338,-4.0067032,,,no
n6902638993,Azur,5.3995011,-4.0064914,,,no
n6902638994,Panneau ZOO,5.3780522,-4.0070352,,,no
n6902638995,Abobo Gare Mairie,5.4197843,-4.0157753,,,no
n6902638996,Ciné Cool,5.4176548,-4.0117095,,,no
n6902638997,Boulangerie Samake,5.4144283,-4.0062697,,,no
n6902638998,Menuiserie,5.410863,-4.0062877,,,no
n6902638999,Tchapatcha,5.4101067,-4.0063067,,,no
n6902639000,Chaîne Avion,5.4092677,-4.0063409,,,no
n6902639001,Pharmacie Dokui,5.4051188,-4.0063993,,,no
n6902639002,SODECI,5.4036347,-4.0064176,,,no
n6902639003,Étage Noir,5.4020967,-4.0064567,,,no
n6902639004,Azur Mobile,5.4001879,-4.0064867,,,no
n6902639005,Arrêt Dokui,5.3968179,-4.006353,,,no
n6902639006,Ancien Feu,5.3929293,-4.005793,,,no
n6902639007,Bangui,5.3872276,-4.005732,,,no
n6902639008,Vidange,5.3851864,-4.0060126,,,no
n6902639009,HMA,5.382931,-4.0063262,,,no
n6902639010,Carrefour paillet,5.3721147,-4.0118134,,,no
n6902639011,Carrefour 2 Plateaux,5.3653117,-4.0157876,,,no
n6902639012,Gare des gbakas d’Abobo par le zoo,5.3553627,-4.0160705,,,no
n6902868224,Petro Ivoire,5.4184847,-4.0136214,,,no
n6902868225,Ciné Cool,5.4176463,-4.0120067,,,no
n6902868226,Au Bar,5.4167077,-4.0102981,,,no
n6902868227,Pharmacie Dokui,5.4052002,-4.0065175,,,no
n6902868228,SODECI,5.4036701,-4.0065873,,,no
n6902868229,Étage Noir,5.40212,-4.0066315,,,no
n6902868230,Azur Mobile,5.4002027,-4.0066275,,,no
n6902868231,Azur,5.3994577,-4.0066034,,,no
n6902868232,Arrêt Dokui,5.3965911,-4.0064518,,,no
n6902868233,Ancien Feu,5.3928327,-4.0059301,,,no
n6902868234,Bangui,5.3872984,-4.0058536,,,no
n6902868235,Vidange,5.3853034,-4.0060952,,,no
n6902868236,HMA,5.382907,-4.0064118,,,no
n6902868237,Carrefour paillet,5.3716859,-4.0122239,,,no
n6902868238,Carrefour 2 Plateaux,5.365405,-4.0159576,,,no
n6902868239,Willy Agban,5.3633371,-4.0168128,,,no
n6902868240,Cimetière,5.3668297,-4.0152077,,,no
n6902868241,CIE,5.3765337,-4.0094557,,,no
n6902868242,ZOO,5.3789939,-4.0070149,,,no
n6902868243,Eglise,5.3900553,-4.0056173,,,no
n6902868244,Pharmacie Racines,5.41329,-4.0099567,,,no
n6902868245,Abobo Gare Mairie,5.4197639,-4.0160257,,,no
n6902975747,Christine Bar,5.4500232,-4.0135154,,,no
n6902975748,Akéikoi Village,5.4607326,-4.0109926,,,no
n6902975749,À l'École,5.45899,-4.0107733,,,no
n6902975750,Destin,5.455207,-4.0112928,,,no
n6902975751,Monnaie,5.4542173,-4.0119566,,,no
n6902975752,André Bar,5.4528753,-4.0128592,,,no
n6902975753,Carrefour Marché,5.4510493,-4.0133357,,,no
n6902975754,A l'étage,5.446249,-4.0143571,,,no
n6902975755,Boulangerie,5.4394513,-4.0141843,,,no
n6902975756,Carrefour Akéikoi,5.4384053,-4.0140378,,,no
n6902975757,Gare Gbaka Akeïkoi,5.4225885,-4.0161726,,,no
n6903084141,Carrefour Marché,5.4510338,-4.0134417,,,no
n6903084142,André Bar,5.4530404,-4.0129173,,,no
n6903084143,Monnaie,5.4542793,-4.0120751,,,no
n6903097494,Au goudron,5.438503,-4.0142825,,,no
n6903097495,Abobo CIE,5.4227551,-4.0160694,,,no
n6903097496,Au tournant,5.4230451,-4.013945,,,no
n6903097497,Au Lycée,5.4278809,-4.0146415,,,no
n6903097498,Célibataire,5.433455,-4.0124107,,,no
n6903097499,JAUG,5.4352003,-4.0124925,,,no
n6903097500,Cité,5.4383233,-4.0135883,,,no
n6903097501,Boulangerie,5.449017,-4.0138345,,,no
n6903097502,Christine Bar,5.4500084,-4.0136722,,,no
n6903097503,Destin,5.4552984,-4.01134,,,no
n6903097504,À l'École,5.4594779,-4.0109968,,,no
n6903097505,Akéikoi Village,5.460775,-4.0111868,,,no
n6903193216,Mosquée,5.4429021,-4.0144891,,,no
n6903193217,A l'étage,5.4463091,-4.0144891,,,no
n6903268819,Abobo Gare Mairie,5.42194,-4.0165181,,,no
n6903268820,Gare Abobo Kennedy-Marché/ Mosquée Ado,5.4223082,-4.0163197,,,no
n6903268821,Station,5.4211585,-4.0100057,,,no
n6903268822,Kennedy Marché,5.4236887,-4.0015221,,,no
n6903296476,Mosquée,5.4220774,-4.011662,,,no
n6903296477,Carrefour Kennedy,5.4186997,-4.0059623,,,no
n6903296478,Carrefour Kennedy,5.418665,-4.0058919,,,no
n6903296479,Makan Traoré,5.4211643,-4.0039433,,,no
n6903296480,Au marché,5.4236156,-4.0015453,,,no
n6903296481,A Gauche,5.423623,-4.0021714,,,no
n6903296482,Makan Traoré,5.4214359,-4.0037249,,,no
n6903347574,Cocody Riviera M'badon,5.3286546,-3.9324706,,,
n6903347575,Nouveau marché,5.3293417,-3.9332267,,,
n6903347576,Ancien marché,5.329969,-3.9339946,,,
n6903347577,Centre de santé Municipal de M'Badon,5.3307517,-3.9350317,,,
n6903347578,La ferme,5.331008,-3.9352626,,,
n6903347579,Pharmacie,5.3353839,-3.9393933,,,
n6903347580,2 poteaux,5.3384154,-3.9427407,,,
n6903347581,Antenne,5.339948,-3.945032,,,
n6903347582,Carrefour Akouédo,5.345935,-3.9457017,,,
n6903347583,École,5.3461517,-3.9471733,,,
n6903347584,2ème rond-point,5.3458217,-3.9505483,,,
n6903370485,Gare en haut,5.3503568,-4.0227501,,,
n6903374200,Station,5.4210882,-4.0100339,,,no
n6903374201,Immeuble Cercueil,5.4196516,-4.00729,,,no
n6903374202,Immeuble Cercueil,5.4195942,-4.0074087,,,no
n6903397403,Mosquée Ado Kenedy,5.4234508,-3.9978515,,,no
n6903397404,À l'École,5.4215774,-3.9978489,,,no
n6903397405,,5.4198617,-3.9979409,,,no
n6903397406,Dahico,5.4185867,-3.9980283,,,no
n6903397407,Étage Noir,5.4157689,-3.9992242,,,no
n6903406997,Samaké,5.415578,-4.0059533,,,no
n6903406998,Eglise,5.4156012,-4.0037563,,,no
n6903504058,Eglise,5.4155167,-4.0037625,,,no
n6903504059,Monastère,5.4155583,-4.0007112,,,no
n6903504060,Monastère,5.4154526,-4.0008035,,,no
n6903504061,Étage Noir,5.4157731,-3.999403,,,no
n6903504062,Dahico,5.4185995,-3.9981732,,,no
n6903525051,Hôtel du centre,5.4339087,-4.0272132,,,no
n6903525052,A la Pompe,5.437375,-4.0337387,,,no
n6903525053,Dépôt,5.4377181,-4.0360617,,,no
n6903525054,Anokoi Garage,5.4390697,-4.0444772,,,no
n6903525055,Anokoi Garage,5.439303,-4.0444823,,,no
n6903525056,Marahoué,5.4422211,-4.0479148,,,no
n6903525057,Agripac,5.4439581,-4.0487972,,,no
n6903525058,Terminus,5.447775,-4.0509604,,,no
n6903525059,Terminus,5.4479797,-4.0508555,,,no
n6903525060,Delice de france,5.4455178,-4.0494069,,,no
n6903525061,Marahoué,5.4425017,-4.0477433,,,no
n6903525062,Dépôt,5.4379717,-4.0360937,,,no
n6903525063,A la Pompe,5.4376377,-4.033852,,,no
n6903525064,Marché de Nuit,5.4367133,-4.030245,,,no
n6903525065,Hôtel du centre,5.4340417,-4.026894,,,no
n6903525066,Abobo Gare,5.4217034,-4.018191,,,no
n6903535584,Complexe,5.3489387,-4.0206447,,,
n6903544086,Gare en haut,5.350348,-4.0224464,,,
n6903544087,Maternité,5.3481387,-4.0180948,,,
n6903544088,Adjamé Liberté,5.3521055,-4.014163,,,
n6903544089,2ème pont,5.3547793,-4.0029137,,,
n6903544090,Marché,5.3301187,-3.9339759,,,
n6903602207,Abobo Gendarmerie,5.4263194,-4.0203724,,,no
n6903602208,Mosquée Blanche,5.4298704,-4.0233336,,,no
n6903602209,Solibra,5.4332219,-4.0262471,,,no
n6903602210,Château,5.4359152,-4.0288774,,,no
n6903602211,A l'escalier,5.4383375,-4.0383548,,,no
n6903602212,PK 18 ancien marché,5.4497913,-4.0521369,,,no
n6903602213,Abobo Gare,5.4220421,-4.0184916,,,no
n6903602214,Abobo Gendarmerie,5.4260466,-4.0204342,,,no
n6903602215,Gendarmerie Avant le Feu,5.426524,-4.0208376,,,no
n6903602216,Mosquée Blanche,5.4299853,-4.0238003,,,no
n6903602217,Solibra,5.4330817,-4.0264367,,,no
n6903602218,Château,5.4357519,-4.0290698,,,no
n6903602219,Marché de Nuit,5.4365893,-4.0306363,,,no
n6903602221,Nouvelle Gare,5.4382834,-4.0411411,,,no
n6903602222,Agripac Avant le Feu,5.4448006,-4.0493193,,,no
n6903602223,Station Total,5.4493883,-4.0520966,,,no
n6903602224,PK 18 ancien marché,5.4499639,-4.052542,,,no
n6903639366,Attoban camp,5.370557,-3.9761316,,,
n6903639367,Escalier,5.3694267,-3.9776678,,,
n6903639368,Pharmacie Saint Bernard,5.3673899,-3.9794185,,,
n6903639369,Carrefour Garage,5.3658448,-3.9793174,,,
n6903639370,Polyclinique Sacré-Coeur,5.365069,-3.9792552,,,
n6903639371,Jules ferry,5.3642087,-3.9790994,,,
n6903639372,Hôtel Manhatan,5.362115,-3.9788028,,,
n6903639373,Doraville,5.3589924,-3.978316,,,
n6903639374,Pharmacie Saint ange,5.3571667,-3.9780678,,,
n6903639375,André Malraux,5.356275,-3.9777617,,,
n6903639376,Gare en haut,5.3505392,-4.0228251,,,
n6903968407,Pharmacie Saint Bernard,5.3672689,-3.9796695,,,
n6903968408,Carrefour Garage,5.3655779,-3.9794498,,,
n6905326504,A l'escalier,5.438006,-4.0384056,,,no
n6906590693,1ere Boutique,5.407352,-4.0063787,,,no
n6909707224,Carrefour École,5.3254632,-4.1060202,,,
n6909812233,Pharmacie Cite Maroc,5.3401836,-4.1004172,,,
n6909923471,Sicomex Yopougon,5.3568101,-4.0739979,,,
